% Model:              nanobeam_GaAs_890nm_cavity_onOxideAndLN.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jun 8 2023, 09:32
% Table:              表格 1 - 全局计算 2
% k                                               lambda (THz)                                      品质因子 (1)
1                                                 315.0291978130763+0.7184024234963913i             219.25677552691243
1                                                 316.3103024449539+5.003423173388102i              31.609389360400854
1                                                 316.68335958163925+2.374650625891498i             66.67998991699022
1                                                 316.9920902908599+3.5279609406096646i             44.925680248047286
1                                                 318.0902620857675+8.634134891782661i              18.420505706281155
1                                                 318.81781986684985+2.9082252801042086i            54.81312298052541
1                                                 319.17700685075295+4.721821350559785i             33.79808162510359
1                                                 320.50631818708825+1.0878769022430512i            147.3081731610666
1                                                 321.82741152272035+2.688502266585897i             59.85254606673736
1                                                 322.81505383713505+2.2985870799469588i            70.22032287864948
1                                                 323.1025065217271+2.3826843239601256i             67.80220595582645
1                                                 323.63487389014875+8.137958611386676i             19.884278683681007
1                                                 324.4864754304481+6.414971619773528i              25.291341463635625
1                                                 325.01366646555874+1.4356705594697654i            113.19228646215176
1                                                 326.0359347358874+13.494999601506448i             12.079879376191013
1                                                 326.3896950083271+4.205211242191911i              38.807764486784826
1                                                 326.8144072213081+1.6733003317997281i             97.65563330457267
1                                                 327.2269408568069+2.465939186541481i              66.34935335038573
1                                                 329.2098087449435+7.414577125315104i              22.200174277029507
1                                                 329.5265811406973+2.581624503899517i              63.82155511828905
1                                                 330.7522549187577+1.1564649072305377i             143.00142306558692
1                                                 331.1358064473493+5.530195145498378i              29.938889834375594
1                                                 331.24717068964054+6.566691216690762i             25.22177149488158
1                                                 331.94959178718597+5.850820135950937i             28.367782983746945
1                                                 332.11275482276494+1.3714416188209917i            121.08162325869819
1                                                 332.6089106405594+11.724195739517981i             14.184721836375362
1                                                 332.7656095043181+2.2835132303055334i             72.86264101473897
1                                                 333.0293800056545+14.947987562381693i             11.139605870550787
1                                                 333.28746491429695+3.8829728658996587i            42.916532824789186
1                                                 333.43036556358595+15.890832497530253i            10.491280605198234
1                                                 333.4576669957074+14.980417747817565i             11.129785317378332
1                                                 334.24902798991053+0.2748517130884038i            608.0533831026224
1                                                 334.7222170402517+0.7967023400838019i             210.06729878880714
1                                                 335.42603416301876+7.045614777049664i             23.803886869860747
1                                                 335.96683658132554+2.32729567925779i              72.17966319786031
1                                                 338.00252355827314+6.85151246507302i              24.66627078920967
1                                                 338.32127193168964+2.1829824788807i               77.49060636188891
1                                                 338.5404168474069+0.6041745345242524i             280.1677309305871
1                                                 339.59977016331254+1.366198411695387i             124.28640205410775
1                                                 340.1346664818159+13.442380105933022i             12.651578954075687
1                                                 340.4733312955828+9.809209078510676i              17.35478001184967
1                                                 340.5239811563465+3.6225127116744518i             47.0010747041581
1                                                 341.20658569364673+6.525044804423918i             26.145918987583958
1                                                 341.9122224408418+2.5448787100121146i             67.17652615342405
1                                                 342.2737273875178+0.5655808950590697i             302.58600527142136
1                                                 343.88447225292805+2.140276557837963i             80.33645721941394
1                                                 344.42388295780637+6.6869759296588915i            25.753336529160777
1                                                 345.88663893495453+0.6029283716339925i            286.83891421261967
1                                                 346.0705715014428+1.7026820753216712i             101.62512911756092
1                                                 347.2867199559211+2.351084433448916i              73.85670948585839
2                                                 316.76568461230875+1.4555282152546727i            108.81468366344397
2                                                 317.2176502164379+2.2036511067667726i             71.97547044592373
2                                                 317.6752950713425+8.521755951825602i              18.63907490822284
2                                                 318.4437219002922+1.245143259582697i              127.87433070433069
2                                                 318.6593831654642+4.739158712615229i              33.61982605870749
2                                                 318.8080300057484+0.4862517902858296i             327.82196011900123
2                                                 319.066863143637+9.846873298877254i               16.201430314941554
2                                                 319.87819648017773+1.5671053101279557i            102.06021076339132
2                                                 322.30823558044113+13.072024854478439i            12.328167945229206
2                                                 323.207534672576+1.0210678946764955i              158.26936502345796
2                                                 323.39033555211716+8.453445815722427i             19.12772274181073
2                                                 323.6717977373861+2.244404298085144i              72.10639322281035
2                                                 324.2608839094048+7.067180360887471i              22.941319405401824
2                                                 324.3032464025481+1.8658054135378215i             86.90703865726945
2                                                 325.61983275820205+1.6941074574029122i            96.10365367772516
2                                                 325.80971341816564+4.399879175018918i             37.0248477808217
2                                                 325.8802870471806+9.073582895847359i              17.957640922436706
2                                                 326.10424965550914+9.213647491298289i             17.696805199216385
2                                                 327.46049017704604+0.845242106029072i             193.70810318208584
2                                                 328.17740742013524+10.971459588837842i            14.955959358133937
2                                                 329.0851485179007+7.9215797852030505i             20.77143432504514
2                                                 330.08217341160827+2.167373501575205i             76.14796738349688
2                                                 330.35910997616355+4.970295733879621i             33.23334542493088
2                                                 331.3398699667183+0.5438665323179449i             304.6150574430058
2                                                 331.5790526762615+2.113380599400503i              78.44754815349391
2                                                 331.60198861366433+1.6682944801020683i            99.38352987698444
2                                                 332.4042481489862+13.88897143887253i              11.966481809396315
2                                                 332.91226603831717+3.760314692146487i             44.2665432674575
2                                                 333.1790523856011+8.72864124509668i               19.08539044222746
2                                                 333.68287479949316+8.746130936530635i             19.076027858545675
2                                                 333.7533640903666+5.542755650690485i              30.10716917033763
2                                                 335.14259610685343+7.116390133425746i             23.547233205546572
2                                                 335.2532590548526+0.4023380443883453i             416.63131753364456
2                                                 335.58556194871187+0.09668915981276388i           1735.3835869427598
2                                                 336.3085298845702+2.107178857987773i              79.80066063440962
2                                                 336.5193080941716+6.217935279191691i              27.060373981402865
2                                                 337.9315101869727+2.1856341461209725i             77.30742832388667
2                                                 338.48986505372113+1.7715163393058249i            95.53676066751933
2                                                 338.86943444811044+0.36538632016398803i           463.7139046366369
2                                                 339.65807249770825+5.622778033835758i             30.203759641032786
2                                                 339.71737355716436+3.913492067699128i             43.40335532568174
2                                                 340.26222508518003+8.240339368713002i             20.646129355854615
2                                                 341.2638827205118+7.039039249543284i              24.24079981814664
2                                                 342.3707877206055+0.3197277156450725i             535.4099300241286
2                                                 342.64602057384275+2.214567535491668i             77.36183590756244
2                                                 342.9110124050078+8.515019137857465i              20.135657175474684
2                                                 344.12170890303986+2.2871307490032984i            75.2300035870279
2                                                 345.2782362147394+4.016302721248759i              42.98458808744684
2                                                 345.5707963795365+1.9120500031596541i             90.36656881579516
2                                                 345.8338441523489+0.2733299702032379i             632.6306696173856
3                                                 315.7682504550945+1.120982551407628i              140.8444092455237
3                                                 316.86844184736543+2.1744910045238854i            72.86037081508765
3                                                 317.1702275114893+2.027591245690244i              78.21355221020312
3                                                 318.5111795565403+0.08367472486160873i            1903.2699544774853
3                                                 318.65185626268453+4.277177188694504i             37.25025200089323
3                                                 320.85385280744623+1.2466792798273787i            128.6833983684534
3                                                 321.2674460682864+4.1964270149398635i             38.278688623027364
3                                                 321.4805747843476+1.895258565790781i              84.8117983970732
3                                                 323.35267715393974+8.695425803253213i             18.593262967810276
3                                                 323.39136273038935+9.711216698385236i             16.650404000569893
3                                                 323.6289084530695+2.1961195026603653i             73.68198954133132
3                                                 323.82870298403486+9.937149988053314i             16.29384196542015
3                                                 324.1283714229358+2.0501689089846i                79.04918711879914
3                                                 325.6887263250955+4.128767824726481i              39.44139512696762
3                                                 326.3760676942699+1.678451618816537i              97.22534270138662
3                                                 326.4443887204877+0.9963615786629647i             163.81823411865662
3                                                 326.75239293701594+3.842890819014267i             42.5138793067286
3                                                 329.08360088572005+8.225238163071491i             20.004502870396685
3                                                 329.4889799320861+14.361097909640373i             11.471580446189476
3                                                 330.2601575681541+2.0764405940203043i             79.52554927871071
3                                                 330.8151115118176+0.5383458604549557i             307.2514677016797
3                                                 330.8808037020085+9.616210621400713i              17.20432386150314
3                                                 331.0432611018985+2.1221363974627065i             77.99763990139942
3                                                 331.2488736850542+9.111538606665142i              18.177438958703625
3                                                 331.59164654562255+3.716490817911873i             44.61085238627454
3                                                 332.62588048206663+3.66341259426365i              45.398364492564724
3                                                 332.80745936169984+1.8732719568284764i            88.83052408609055
3                                                 333.8798288769075+4.9654654295826i                33.62019468384192
3                                                 334.0772251512685+15.784103132808298i             10.582711679603353
3                                                 334.82953477339953+0.4069660229621777i            411.3728368971452
3                                                 334.96432047908957+7.542141648495304i             22.206180690461885
3                                                 335.3169648714394+4.804854892256331i              34.89355791075477
3                                                 335.7618094005695+0.01609514716884256i            10430.529335281466
3                                                 336.6977303351696+2.103722561387293i              80.02427138327957
3                                                 337.53478646148454+13.291623637106607i            12.697274451827655
3                                                 338.4240464301366+2.08602160933634i               81.11709986978632
3                                                 338.4848204764864+8.78599399804258i               19.262750495384868
3                                                 338.555390506305+0.32840586109967695i             515.4527226959989
3                                                 339.1360710417675+13.583839297414077i             12.48307137682084
3                                                 339.253704024431+8.472038130820774i               20.021965127272388
3                                                 339.3413613375691+2.070231886127766i              81.9573313529348
3                                                 339.6095549010963+4.124282688886261i              41.17195407291613
3                                                 339.7477257909004+4.212659659975459i              40.324611197392535
3                                                 341.005552159651+7.089208697349978i               24.051030708626374
3                                                 342.1161324314154+0.29577805439360894i            578.3325154613088
3                                                 343.23734102350005+2.1515520104544703i            79.76505781772815
3                                                 345.5567188731634+2.0354001710199503i             84.88667825452795
3                                                 345.6312143900296+0.27449903464431663i            629.5672675823482
3                                                 345.69742232906015+3.8196945666110906i            45.251971892057554
3                                                 346.20993307370236+2.141426351410342i             80.83629232583431
4                                                 316.87163517283295+2.24774930478732i              70.48642713356661
4                                                 317.2233132958697+2.152903932730834i              73.67335543242058
4                                                 317.51859764413507+4.689693897796885i             33.85280623467752
4                                                 318.4733617263226+0.013561728040118397i           11741.621745555307
4                                                 318.75850363849645+1.1042985606964302i            144.3262334044292
4                                                 318.836185130834+2.5408901822857i                 62.74104000118958
4                                                 318.865284569589+3.9291269476712443i              40.57711659820223
4                                                 322.25915190009437+10.155260963770408i            15.866611062471762
4                                                 323.204520259407+4.151918374033017i               38.92231146459875
4                                                 323.3912716191893+8.66173746030795i               18.6678061475031
4                                                 323.4898261661868+10.306612804576991i             15.693314200303055
4                                                 323.5319623280312+2.311851999631201i              69.97246414987698
4                                                 323.9570946449547+1.1547419276010884i             140.27250890506653
4                                                 324.2131195396733+1.929720530530587i              84.00520034124558
4                                                 325.71511104993675+1.9042878095454316i            85.52150295172227
4                                                 325.7430101015961+4.102382050522437i              39.70169112602675
4                                                 326.4161404877354+8.829355888203903i              18.484708546170975
4                                                 327.7724504119197+14.790625986015332i             11.080411698660741
4                                                 328.79310796326945+4.157894881292261i             39.53841034349112
4                                                 329.1645637456489+8.331202079352357i              19.754926156540737
4                                                 329.4088177466793+1.903700687864147i              86.5180172089602
4                                                 329.7779503765088+9.580784707871384i              17.21038309657296
4                                                 330.05179229161854+2.2319385996899794i            73.938367376563
4                                                 330.7422192824214+1.1940503090036692i             138.49593136423076
